product_id,product_label,name_variants,category,sub_category,brand,n_lines,quantity,revenue,profit,ambiguous_name
FUR-ADV-10000002,"Advantus Photo Frame, Duo Pack",1,Furniture,Furnishings,Advantus,2,3,159.12,60.39,0
FUR-ADV-10000108,"Advantus Clock, Erganomic",1,Furniture,Furnishings,Advantus,3,7,350.07000000000005,3.36,0
FUR-ADV-10000183,"Advantus Photo Frame, Black",1,Furniture,Furnishings,Advantus,8,31,974.8320000000001,-651.7379999999999,0
FUR-ADV-10000188,"Advantus Stacking Tray, Erganomic",1,Furniture,Furnishings,Advantus,5,7,124.95000000000002,4.200000000000005,0
FUR-ADV-10000190,"Advantus Frame, Duo Pack",1,Furniture,Furnishings,Advantus,1,2,222.36,104.46000000000001,0
FUR-ADV-10000571,"Advantus Frame, Erganomic",1,Furniture,Furnishings,Advantus,8,20,2194.7999999999997,701.9999999999999,0
FUR-ADV-10000600,"Advantus Clock, Duo Pack",1,Furniture,Furnishings,Advantus,2,4,205.8,24.599999999999998,0
FUR-ADV-10000847,"Advantus Stacking Tray, Black",1,Furniture,Furnishings,Advantus,5,11,290.72999999999996,81.18,0
FUR-ADV-10001283,"Advantus Frame, Black",1,Furniture,Furnishings,Advantus,2,3,177.79200000000003,-88.96799999999998,0
FUR-ADV-10001440,"Advantus Door Stop, Black",1,Furniture,Furnishings,Advantus,7,22,959.139,176.379,0
FUR-ADV-10001659,"Advantus Light Bulb, Durable",1,Furniture,Furnishings,Advantus,6,10,147.05999999999997,16.860000000000007,0
FUR-ADV-10001855,"Advantus Stacking Tray, Durable",1,Furniture,Furnishings,Advantus,4,4,89.65800000000002,12.617999999999999,0
FUR-ADV-10002329,"Advantus Light Bulb, Erganomic",1,Furniture,Furnishings,Advantus,1,1,7.475999999999999,-9.533999999999999,0
FUR-ADV-10002601,"Advantus Photo Frame, Erganomic",1,Furniture,Furnishings,Advantus,5,11,495.35999999999996,200.01000000000002,0
FUR-ADV-10002632,"Advantus Door Stop, Duo Pack",1,Furniture,Furnishings,Advantus,1,2,36.071999999999996,-48.708,0
FUR-ADV-10002889,"Advantus Clock, Durable",1,Furniture,Furnishings,Advantus,7,19,803.772,-61.48800000000001,0
FUR-ADV-10003147,"Advantus Stacking Tray, Erganomic",1,Furniture,Furnishings,Advantus,5,8,187.2,57.84,0
FUR-ADV-10003326,"Advantus Light Bulb, Black",1,Furniture,Furnishings,Advantus,4,4,54.189,11.589,0
FUR-ADV-10004159,"Advantus Frame, Durable",1,Furniture,Furnishings,Advantus,3,5,194.67000000000002,-286.68,0
FUR-ADV-10004223,"Advantus Clock, Black",1,Furniture,Furnishings,Advantus,2,2,66.80700000000002,-6.213000000000008,0
FUR-ADV-10004395,"Advantus Door Stop, Durable",1,Furniture,Furnishings,Advantus,10,29,614.076,4.2059999999999995,0
FUR-ADV-10004499,"Advantus Photo Frame, Durable",1,Furniture,Furnishings,Advantus,3,5,250.04999999999995,39.900000000000006,0
FUR-ADV-10004718,"Advantus Light Bulb, Duo Pack",1,Furniture,Furnishings,Advantus,5,9,124.806,-20.18399999999999,0
FUR-ADV-10004971,"Advantus Door Stop, Erganomic",1,Furniture,Furnishings,Advantus,2,9,392.85,121.77,0
FUR-BAR-10000560,"Barricks Round Table, with Bottom Storage",1,Furniture,Tables,Barricks,1,2,1003.0200000000001,30.06,0
FUR-BAR-10000831,"Barricks Training Table, Fully Assembled",1,Furniture,Tables,Barricks,1,1,319.77,121.5,0
FUR-BAR-10000946,"Barricks Computer Table, with Bottom Storage",1,Furniture,Tables,Barricks,2,7,3360.21,134.40000000000003,0
FUR-BAR-10001039,"Barricks Coffee Table, Fully Assembled",1,Furniture,Tables,Barricks,2,2,212.079,-303.02099999999996,0
FUR-BAR-10002449,"Barricks Training Table, Adjustable Height",1,Furniture,Tables,Barricks,3,23,7371.2699999999995,2358.42,0
FUR-BAR-10002710,"Barricks Coffee Table, Adjustable Height",1,Furniture,Tables,Barricks,1,4,364.428,-546.7319999999997,0
FUR-BAR-10003465,"Barricks Computer Table, Adjustable Height",1,Furniture,Tables,Barricks,2,2,285.24600000000004,-551.5139999999999,0
FUR-BAR-10003532,"Barricks Conference Table, Rectangular",1,Furniture,Tables,Barricks,2,9,3075.8099999999995,-2460.8099999999995,0
